userId,preferredCategories,preferredTags
60,饼干,常温|提神|冷藏|蛋糕
61,饮料,常温|进口
62,牛奶|薯片,原味|代餐
63,薯片,番茄|黄油|健康|原味
64,饼干,凉茶|奶香|果味
65,饼干|薯片,果汁|单品
66,饮料,有机|薄脆
67,薯片|饼干,凉茶|代餐
68,饮料,烧烤|气泡|经典
69,坚果|薯片,纯牛奶|茶饮
70,坚果,常温|果汁|清爽
71,薯片|坚果,清爽|非油炸|纯牛奶
72,坚果|饼干,常温|无糖|橙味
73,薯片,气泡|代餐|果味
74,牛奶|薯片,进口|代餐|番茄|乳饮料
75,薯片|饼干,番茄|代餐
76,饼干|薯片,蛋糕|橙味|进口
77,饼干|饮料,清爽|送礼|乳饮料|薄脆
78,饮料|饼干,瓜子|功能|代餐|鲜奶
79,坚果|薯片,原味|进口
80,饼干,凉茶|常温
81,饮料,气泡|薄脆|番茄|罐装
82,饮料,高端|原味|健康
83,牛奶,酥脆|奶香|碳酸
84,牛奶|饼干,薄脆|酸奶
85,坚果|薯片,黄油|非油炸|无糖
86,饼干|饮料,茶饮|原味|罐装
87,坚果|饮料,原味|烧烤|黄瓜|气泡
88,饼干|薯片,乳饮料|巧克力|鲜奶
89,饼干,单品|健康
90,牛奶,番茄|果味|巧克力
91,饮料|牛奶,番茄|单品
92,坚果,瓜子|橙味|经典
93,饮料|坚果,巧克力|清爽|酥脆|膨化
94,薯片,膨化|凉茶|单品
95,饮料|饼干,酸奶|黄油|巧克力
96,饮料,夹心|代餐|凉茶|鲜奶
97,饼干|饮料,咸味|茶饮
98,薯片|饼干,乳饮料|果味|单品
99,饮料|薯片,瓜子|凉茶
100,薯片,送礼|气泡
101,牛奶,有机|凉茶
102,饼干,瓜子|代餐
103,坚果,薄脆|茶饮
104,饼干|牛奶,进口|果汁
105,薯片,单品|高端|有机|气泡
106,牛奶,进口|清爽|纯牛奶|夹心
107,薯片,无糖|代餐|提神|气泡
108,牛奶|饮料,果汁|无糖|提神
109,饼干|饮料,碳酸|送礼
110,坚果|饮料,无糖|冷藏|烧烤
111,饼干|牛奶,黄瓜|原味|薄脆
112,薯片|牛奶,乳饮料|奶香|膨化
113,薯片,果味|烧烤|清爽
114,坚果|牛奶,有机|鲜奶|原味|番茄
115,坚果|饼干,瓜子|送礼|膨化|黄瓜
116,牛奶,酥脆|高端|原味
117,坚果|薯片,蛋糕|碳酸|经典
118,坚果|薯片,薄脆|烧烤|进口
119,饼干|牛奶,有机|乳饮料|纯牛奶|巧克力
120,饼干,瓜子|烧烤
121,牛奶|饼干,酥脆|提神|奶香
122,牛奶|饼干,常温|咸味|蛋糕
123,饼干|饮料,橙味|夹心
124,饮料|坚果,果味|奶香|咸味
125,饮料|牛奶,高端|膨化
126,坚果,咸味|健康|夹心|进口
127,饼干,蛋糕|番茄
128,坚果,黄瓜|进口|冷藏
129,薯片|牛奶,果汁|混合|罐装|茶饮
130,饼干,奶香|蛋糕
131,饼干,番茄|黄瓜
132,薯片|牛奶,高钙|薄脆
133,饼干,罐装|冷藏|代餐
134,饮料,巧克力|酥脆
135,薯片,气泡|咸味
136,薯片,夹心|高钙|黄瓜|纯牛奶
137,薯片|饮料,非油炸|巧克力|膨化
138,牛奶|坚果,乳饮料|清爽|茶饮
139,牛奶,夹心|冷藏
140,薯片,常温|奶香|瓜子|碳酸
141,薯片|饼干,无糖|罐装|膨化|鲜奶
142,薯片|饮料,乳饮料|代餐|果汁
143,薯片,膨化|高钙|代餐
144,坚果|牛奶,鲜奶|乳饮料|茶饮
145,牛奶|饮料,橙味|代餐|巧克力|薄脆
146,牛奶|饼干,提神|黄油|膨化|罐装
147,牛奶|饼干,蛋糕|酸奶|高钙
148,饮料|牛奶,罐装|清爽
149,饼干,蛋糕|橙味|番茄
150,饼干,薄脆|纯牛奶
151,饮料,高钙|非油炸|烧烤|番茄
152,饮料|饼干,蛋糕|健康|单品
153,坚果,酸奶|气泡|烧烤|番茄
154,坚果|薯片,高钙|进口
155,饼干|饮料,瓜子|经典|果味|蛋糕
156,饮料|薯片,原味|夹心
157,饼干|饮料,乳饮料|瓜子
158,饮料|饼干,常温|酸奶|非油炸
159,牛奶|饮料,碳酸|薄脆
160,饼干,送礼|健康|气泡
161,薯片|坚果,高端|送礼|鲜奶|果味
162,薯片|饮料,常温|黄油|气泡|原味
163,饼干|牛奶,果汁|罐装|黄瓜
164,薯片,常温|乳饮料
165,薯片,提神|无糖|健康
166,坚果,夹心|奶香|功能
167,牛奶,单品|黄油|原味|膨化
168,饼干,罐装|茶饮|薄脆
169,牛奶|饮料,巧克力|功能|气泡
170,薯片|坚果,无糖|茶饮|薄脆|进口
171,饮料,果汁|原味|单品
172,坚果|薯片,高钙|凉茶|代餐|高端
173,牛奶|坚果,膨化|高钙|酥脆|清爽
174,饼干|坚果,茶饮|代餐|酸奶|罐装
175,牛奶,黄瓜|常温|冷藏
176,饼干|牛奶,乳饮料|番茄|奶香
177,饼干,提神|碳酸|非油炸|烧烤
178,薯片,高钙|果味|纯牛奶
179,牛奶|饼干,高端|蛋糕
180,牛奶|饮料,茶饮|巧克力
181,饮料,茶饮|冷藏|单品
182,牛奶|饼干,凉茶|黄油|蛋糕
183,坚果|饼干,气泡|罐装|薄脆|进口
184,牛奶|饼干,常温|进口
185,牛奶|坚果,巧克力|酸奶
186,饮料|薯片,巧克力|番茄|冷藏|健康
187,牛奶|饮料,番茄|烧烤|常温|提神
188,饮料,原味|提神|果汁
189,坚果|薯片,高端|烧烤
190,牛奶,鲜奶|代餐|混合
191,牛奶,原味|酸奶|夹心
192,牛奶,混合|冷藏|酥脆|果味
193,坚果,烧烤|健康
194,坚果,奶香|纯牛奶|代餐
195,饼干,经典|原味
196,牛奶|饼干,咸味|酸奶|番茄
197,牛奶,黄瓜|提神|非油炸
198,饮料,酥脆|黄油|常温|代餐
199,饮料|牛奶,瓜子|高端
200,牛奶|饮料,黄瓜|气泡|鲜奶|乳饮料
